Absolute Magnitude,Relative Velocity km per sec,Miss Dist.(kilometers),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Hazardous
21.6,6.115834389,62753692,5,0.0252819,4.634,0.425549083,1.407011303,6.025981287,314.3739134,609.5997864,0.808258933,57.25746988,2.005763673,2458161.642,264.8375333,0.590551388,1
21.3,18.11398503,57298148,3,0.186935,5.457,0.351674305,1.107775954,28.41299637,136.7172417,425.8692942,0.718199616,313.0919748,1.497352293,2457794.969,173.741112,0.845329788,0
20.3,7.590711162,7622911.5,0,0.0430579,4.557,0.348248262,1.458823814,4.237961003,259.4759789,643.5802281,0.950790957,248.4150381,1.966856672,2458120.468,292.8936538,0.55937082,1
27.4,11.1738745,42683616,6,0.0055118,5.093,0.216578308,1.25590289,7.905894348,57.17326613,514.0821404,0.983901567,18.70770087,1.527904212,2457902.337,68.74100662,0.700277196,0
21.6,9.840831054,61010824,1,0.034798,5.154,0.210447943,1.225614737,16.79338166,84.62930679,495.5978209,0.967686636,158.2635961,1.483542837,2457814.455,135.1421327,0.726395446,1
19.6,10.80884396,58759768,1,0.272213,4.724,0.563441073,1.32353218,17.92775064,178.9719508,556.1605558,0.577799788,198.1459692,2.069264572,2458009.403,354.2373683,0.647295095,0
19.6,10.80884159,58759532,1,0.272213,4.724,0.56344111,1.323532162,17.92774838,178.9719526,556.1605445,0.577799731,198.1459599,2.069264593,2458009.403,354.2373962,0.647295109,0
19.2,24.42188399,19324928,0,0.0987582,4.921,0.449762796,1.237474536,34.69512745,112.5629844,502.8087579,0.680904529,288.3746511,1.794044544,2458242.439,186.7769323,0.715977982,0
17.8,17.37378384,53598364,0,0.109354,5.386,0.23817901,1.145550849,22.21521029,80.21113209,447.8370128,0.872704682,353.4223941,1.418397017,2458221.636,182.2364315,0.803863883,0
21.5,12.89960972,22709816,0,0.0169065,6.623,0.551388807,0.876125367,2.059576978,2.613682369,299.5351607,0.393039646,253.7659372,1.359211087,2457900.77,119.8613823,1.201862243,1
